,Borough,Neighborhood,geometry,address,Latitude,Longitude
0,Charlottenburg-Wilmersdorf,"Charlottenburg,Charlottenburg-Nord,Grunewald,Halensee,Schmargendorf,Westend,Wilmersdorf",POINT (13.2829999923217 52.586016),"Charlottenburg-Wilmersdorf, BE, Germany, Germany",52.586016,13.2829999923217
1,Friedrichshain-Kreuzberg,"Friedrichshain,Kreuzberg",POINT (13.449999809222 52.586016),"Friedrichshain-Kreuzberg, BE, Germany, Germany",52.586016,13.449999809222
2,Lichtenberg,"Alt-Hohenschönhausen,Falkenberg,Fennpfuhl,Friedrichsfelde,Karlshorst,Lichtenberg,Malchow,Neu-Hohenschönhausen,Rummelsburg,Wartenberg",POINT (13.4983072280221 52.514556884786),"Lichtenberg, BE, Germany, Germany",52.514556884786,13.4983072280221
3,Marzahn-Hellersdorf,"Biesdorf,Hellersdorf,Kaulsdorf,Mahlsdorf,Marzahn",POINT (13.5830001831222 52.533000946086),"Marzahn-Hellersdorf, BE, Germany, Germany",52.533000946086,13.5830001831222
4,Mitte,"Gesundbrunnen,Hansaviertel,Mitte,Moabit,Tiergarten,Wedding",POINT (13.366999626219 52.516998291086),"Mitte, BE, Germany, Germany",52.516998291086,13.366999626219
5,Neukölln,"Britz,Buckow,Gropiusstadt,Neukölln,Rudow",POINT (13.449999809222 52.4830017089859),"Neukölln, BE, Germany, Germany",52.4830017089859,13.449999809222
6,Pankow,"Blankenburg,Blankenfelde,Buch,Französisch,Buchholz,Heinersdorf,Karow,Niederschönhausen,Pankow,Prenzlauer,Berg,Rosenthal,Stadtrandsiedlung,Malchow,Weißensee,Wilhelmsruh",POINT (13.4032354354219 52.5695953369861),"Pankow, BE, Germany, Germany",52.5695953369861,13.4032354354219
7,Reinickendorf,"Borsigwalde,Frohnau,Heiligensee,Hermsdorf,Konradshöhe,Lübars,Märkisches,Viertel,Reinickendorf,Tegel,Waidmannslust,Wittenau",POINT (13.3453941345218 52.5740928648613),"Reinickendorf, BE, Germany, Germany",52.5740928648613,13.3453941345218
8,Spandau,"Falkenhagener,Feld,Gatow,Hakenfelde,Haselhorst,Kladow,Siemensstadt,Spandau,Staaken,Wilhelmstadt",POINT (13.1816892622159 52.534072875986),"Spandau, BE, Germany, Germany",52.534072875986,13.1816892622159
9,Steglitz-Zehlendorf,"Dahlem,Lankwitz,Lichterfelde,Nikolassee,Steglitz,Wannsee,Zehlendorf",POINT (13.25217088 52.4329986572859),"Steglitz-Zehlendorf, BE, Germany, Germany",52.4329986572859,13.25217088
10,Tempelhof-Schöneberg,"Friedenau,Lichtenrade,Mariendorf,Marienfelde,Schöneberg,Tempelhof",POINT (13.3830003732192 52.4669990539859),"Tempelhof-Schöneberg, BE, Germany, Germany",52.4669990539859,13.3830003732192
11,Treptow-Köpenick,"Adlershof,Alt-Treptow,Altglienicke,Baumschulenweg,Bohnsdorf,Friedrichshagen,,Grünau,Johannisthal,Köpenick,Müggelheim,Niederschöneweide,Oberschöneweide,Plänterwald,Rahnsdorf,Schmöckwitz",POINT (13.5670003890222 52.4500007629859),"Treptow-Köpenick, BE, Germany, Germany",52.4500007629859,13.5670003890222
