,Neighborhood
0,Charlottenburg
1,Charlottenburg-Nord
2,Grunewald
3,Halensee
4,Schmargendorf
5,Westend
6,Wilmersdorf
7,Friedrichshain
8,Kreuzberg
9,Alt-Hohenschönhausen
10,Falkenberg
11,Fennpfuhl
12,Friedrichsfelde
13,Karlshorst
14,Lichtenberg
15,Malchow
16,Neu-Hohenschönhausen
17,Rummelsburg
18,Wartenberg
19,Biesdorf
20,Hellersdorf
21,Kaulsdorf
22,Mahlsdorf
23,Marzahn
24,Gesundbrunnen
25,Hansaviertel
26,Mitte
27,Moabit
28,Tiergarten
29,Wedding
30,Britz
31,Buckow
32,Gropiusstadt
33,Neukölln
34,Rudow
35,Blankenburg
36,Blankenfelde
37,Buch
38,Französisch
39,Buchholz
40,Heinersdorf
41,Karow
42,Niederschönhausen
43,Pankow
44,Prenzlauer
45,Berg
46,Rosenthal
47,Stadtrandsiedlung
48,Malchow
49,Weißensee
50,Wilhelmsruh
51,Borsigwalde
52,Frohnau
53,Heiligensee
54,Hermsdorf
55,Konradshöhe
56,Lübars
57,Märkisches
58,Viertel
59,Reinickendorf
60,Tegel
61,Waidmannslust
62,Wittenau
63,Falkenhagener
64,Feld
65,Gatow
66,Hakenfelde
67,Haselhorst
68,Kladow
69,Siemensstadt
70,Spandau
71,Staaken
72,Wilhelmstadt
73,Dahlem
74,Lankwitz
75,Lichterfelde
76,Nikolassee
77,Steglitz
78,Wannsee
79,Zehlendorf
80,Friedenau
81,Lichtenrade
82,Mariendorf
83,Marienfelde
84,Schöneberg
85,Tempelhof
86,Adlershof
87,Alt-Treptow
88,Altglienicke
89,Baumschulenweg
90,Bohnsdorf
91,Friedrichshagen
92,
93,Grünau
94,Johannisthal
95,Köpenick
96,Müggelheim
97,Niederschöneweide
98,Oberschöneweide
99,Plänterwald
100,Rahnsdorf
101,Schmöckwitz
