,Borough,Neighborhood
0,Charlottenburg-Wilmersdorf,"Charlottenburg,Charlottenburg-Nord,Grunewald,Halensee,Schmargendorf,Westend,Wilmersdorf"
1,Friedrichshain-Kreuzberg,"Friedrichshain,Kreuzberg"
2,Lichtenberg,"Alt-Hohenschönhausen,Falkenberg,Fennpfuhl,Friedrichsfelde,Karlshorst,Lichtenberg,Malchow,Neu-Hohenschönhausen,Rummelsburg,Wartenberg"
3,Marzahn-Hellersdorf,"Biesdorf,Hellersdorf,Kaulsdorf,Mahlsdorf,Marzahn"
4,Mitte,"Gesundbrunnen,Hansaviertel,Mitte,Moabit,Tiergarten,Wedding"
5,Neukölln,"Britz,Buckow,Gropiusstadt,Neukölln,Rudow"
6,Pankow,"Blankenburg,Blankenfelde,Buch,Französisch,Buchholz,Heinersdorf,Karow,Niederschönhausen,Pankow,Prenzlauer,Berg,Rosenthal,Stadtrandsiedlung,Malchow,Weißensee,Wilhelmsruh"
7,Reinickendorf,"Borsigwalde,Frohnau,Heiligensee,Hermsdorf,Konradshöhe,Lübars,Märkisches,Viertel,Reinickendorf,Tegel,Waidmannslust,Wittenau"
8,Spandau,"Falkenhagener,Feld,Gatow,Hakenfelde,Haselhorst,Kladow,Siemensstadt,Spandau,Staaken,Wilhelmstadt"
9,Steglitz-Zehlendorf,"Dahlem,Lankwitz,Lichterfelde,Nikolassee,Steglitz,Wannsee,Zehlendorf"
10,Tempelhof-Schöneberg,"Friedenau,Lichtenrade,Mariendorf,Marienfelde,Schöneberg,Tempelhof"
11,Treptow-Köpenick,"Adlershof,Alt-Treptow,Altglienicke,Baumschulenweg,Bohnsdorf,Friedrichshagen,,Grünau,Johannisthal,Köpenick,Müggelheim,Niederschöneweide,Oberschöneweide,Plänterwald,Rahnsdorf,Schmöckwitz"
