,geometry,address,Neighborhood
0,POINT (13.3144178392181 52.509784698486),"Charlottenburg, BE, Germany, Germany",Charlottenburg
1,POINT (13.2961015701217 52.530445098886),"Charlottenburg-Nord, BE, Germany, Germany",Charlottenburg-Nord
2,POINT (13.2658042907217 52.4833831787859),"Grunewald, BE, Germany, Germany",Grunewald
3,POINT (13.2956886292178 52.495975494386),"Halensee, BE, Germany, Germany",Halensee
4,POINT (13.2900476455217 52.4757957458597),"Schmargendorf, BE, Germany, Germany",Schmargendorf
5,POINT (13.2598075862172 52.5161972048604),"Westend, BE, Germany, Germany",Westend
6,POINT (13.3203697204218 52.4829826354859),"Wilmersdorf, BE, Germany, Germany",Wilmersdorf
7,POINT (13.445509910522 52.512725830086),"Friedrichshain, BE, Germany, Germany",Friedrichshain
8,POINT (13.3949632644219 52.493450164786),"Kreuzberg, BE, Germany, Germany",Kreuzberg
9,POINT (13.5082178115221 52.548442840586),"Alt-Hohenschönhausen, BE, Germany, Germany",Alt-Hohenschönhausen
10,POINT (13.5454902648221 52.5678672790861),"Falkenberg, BE, Germany, Germany",Falkenberg
11,POINT (13.469067573522 52.531280517586),"Fennpfuhl, BE, Germany, Germany",Fennpfuhl
12,POINT (13.5114536282213 52.505550384586),"Friedrichsfelde, BE, Germany, Germany",Friedrichsfelde
13,POINT (13.5319948196221 52.4840469360859),"Karlshorst, BE, Germany, Germany",Karlshorst
14,POINT (13.4983072280221 52.514556884786),"Lichtenberg, BE, Germany, Germany",Lichtenberg
15,POINT (13.483261108322 52.5829277038861),"Malchow, BE, Germany, Germany",Malchow
16,POINT (13.5150251388221 52.5672950744861),"Neu-Hohenschönhausen, BE, Germany, Germany",Neu-Hohenschönhausen
17,POINT (13.4929351806221 52.500953674386),"Rummelsburg, BE, Germany, Germany",Rummelsburg
18,POINT (13.5180253982221 52.5748672485861),"Wartenberg, BE, Germany, Germany",Wartenberg
19,POINT (13.5531558990222 52.508995056186),"Biesdorf, BE, Germany, Germany",Biesdorf
20,POINT (13.6088390350222 52.532852172886),"Hellersdorf, BE, Germany, Germany",Hellersdorf
21,POINT (13.5893020629222 52.516605377186),"Kaulsdorf, BE, Germany, Germany",Kaulsdorf
22,POINT (13.6136283874223 52.509651184086),"Mahlsdorf, BE, Germany, Germany",Mahlsdorf
23,POINT (13.5729579925222 52.550746917786),"Marzahn, BE, Germany, Germany",Marzahn
24,POINT (13.3839292526219 52.5549278259861),"Gesundbrunnen, BE, Germany, Germany",Gesundbrunnen
25,POINT (13.3379850387218 52.513786315986),"Hansaviertel, BE, Germany, Germany",Hansaviertel
26,POINT (13.366999626219 52.516998291086),"Mitte, BE, Germany, Germany",Mitte
27,POINT (13.3392820358218 52.525634765686),"Moabit, BE, Germany, Germany",Moabit
28,POINT (13.3586025238218 52.509899139486),"Tiergarten, BE, Germany, Germany",Tiergarten
29,POINT (13.3652534484218 52.543014526386),"Wedding, BE, Germany, Germany",Wedding
30,POINT (13.434184074422 52.4444122314859),"Britz, BE, Germany, Germany",Britz
31,POINT (13.435532569822 52.4248237609858),"Buckow, BE, Germany, Germany",Buckow
32,POINT (13.465502738922 52.4286613464858),"Gropiusstadt, BE, Germany, Germany",Gropiusstadt
33,POINT (13.449999809222 52.4830017089859),"Neukölln, BE, Germany, Germany",Neukölln
34,POINT (13.483478546122 52.4259033203858),"Rudow, BE, Germany, Germany",Rudow
35,POINT (13.4533061982204 52.5933151245861),"Blankenburg, BE, Germany, Germany",Blankenburg
36,POINT (13.3902463912219 52.6184883117862),"Blankenfelde, BE, Germany, Germany",Blankenfelde
37,POINT (13.4973297119221 52.6342811584862),"Buch, BE, Germany, Germany",Buch
38,POINT (13.437617301922 52.5717735290861),"Heinersdorf, BE, Germany, Germany",Heinersdorf
39,POINT (13.481223106322 52.6093101501861),"Karow, BE, Germany, Germany",Karow
40,POINT (13.4026441572195 52.5855026245861),"Niederschönhausen, BE, Germany, Germany",Niederschönhausen
41,POINT (13.4032354354219 52.5695953369861),"Pankow, BE, Germany, Germany",Pankow
42,POINT (13.4232139582199 52.551139831586),"Prenzlauer Berg, BE, Germany, Germany",Prenzlauer Berg
43,POINT (13.3783435821219 52.6003799438861),"Rosenthal, BE, Germany, Germany",Rosenthal
44,POINT (13.483261108322 52.5829277038861),"Malchow, BE, Germany, Germany",Malchow
45,POINT (13.469113349922 52.5550575256861),"Weißensee, BE, Germany, Germany",Weißensee
46,POINT (13.3681316375219 52.5872764588615),"Wilhelmsruh, BE, Germany, Germany",Wilhelmsruh
47,POINT (13.3095331192218 52.5838928222861),"Borsigwalde, BE, Germany, Germany",Borsigwalde
48,POINT (13.2912015914217 52.6328926086862),"Frohnau, BE, Germany, Germany",Frohnau
49,POINT (13.2449617385217 52.6144142150862),"Heiligensee, BE, Germany, Germany",Heiligensee
50,POINT (13.3128871917218 52.6224136352862),"Hermsdorf, BE, Germany, Germany",Hermsdorf
51,POINT (13.2271404266216 52.5845603942861),"Konradshöhe, BE, Germany, Germany",Konradshöhe
52,POINT (13.3546009063218 52.6181068420862),"Lübars, BE, Germany, Germany",Lübars
53,POINT (13.3453941345218 52.5740928648613),"Reinickendorf, BE, Germany, Germany",Reinickendorf
54,POINT (13.2931280136217 52.5757522583861),"Tegel, BE, Germany, Germany",Tegel
55,POINT (13.3237886428218 52.6078910827861),"Waidmannslust, BE, Germany, Germany",Waidmannslust
56,POINT (13.3206186294218 52.5938072204861),"Wittenau, BE, Germany, Germany",Wittenau
57,POINT (13.1828651428215 52.4832725528598),"Gatow, BE, Germany, Germany",Gatow
58,POINT (13.208286282164 52.5590972900861),"Hakenfelde, BE, Germany, Germany",Hakenfelde
59,POINT (13.2397708892216 52.542903900186),"Haselhorst, BE, Germany, Germany",Haselhorst
60,POINT (13.1443195343215 52.4542884826859),"Kladow, BE, Germany, Germany",Kladow
61,POINT (13.2629318232172 52.540592193686),"Siemensstadt, BE, Germany, Germany",Siemensstadt
62,POINT (13.1816892622159 52.534072875986),"Spandau, BE, Germany, Germany",Spandau
63,POINT (13.1416206359215 52.5325889588606),"Staaken, BE, Germany, Germany",Staaken
64,POINT (13.1761837005215 52.525653839186),"Wilhelmstadt, BE, Germany, Germany",Wilhelmstadt
65,POINT (13.2897424697217 52.4580650329859),"Dahlem, BE, Germany, Germany",Dahlem
66,POINT (13.3458404541218 52.4362258911859),"Lankwitz, BE, Germany, Germany",Lankwitz
67,POINT (13.3073005676218 52.4332847595859),"Lichterfelde, BE, Germany, Germany",Lichterfelde
68,POINT (13.1978902816216 52.4350471496859),"Nikolassee, BE, Germany, Germany",Nikolassee
69,POINT (13.3307867050218 52.4526481628859),"Steglitz, BE, Germany, Germany",Steglitz
70,POINT (13.1615762710215 52.4198684692858),"Wannsee, BE, Germany, Germany",Wannsee
71,POINT (13.2578592300217 52.4410705566859),"Zehlendorf, BE, Germany, Germany",Zehlendorf
72,POINT (13.3282833099218 52.4712104797859),"Friedenau, BE, Germany, Germany",Friedenau
73,POINT (13.4067211151219 52.3985137939858),"Lichtenrade, BE, Germany, Germany",Lichtenrade
74,POINT (13.3804063721922 52.4379196166859),"Mariendorf, BE, Germany, Germany",Mariendorf
75,POINT (13.3678226470219 52.4190101623858),"Marienfelde, BE, Germany, Germany",Marienfelde
76,POINT (13.3571748733218 52.4868812561859),"Schöneberg, BE, Germany, Germany",Schöneberg
